kills_first_4_min,assists_first_4_min,camps_cleared_first_4_min,gold_earned_first_4_min,win,kills_details,summoner_spells,champion,first_item,level_at_first_blood,firstBlood,gold_per_minute,game_type
0,1,28,1490,False,[],"(4, 11)",Udyr,Blue,3,False,372.5,Ranked Solo/Duo
1,0,24,1718,False,[203603],"(4, 11)",Ekko,Red,1,False,429.5,Ranked Solo/Duo
1,1,24,1694,True,[151866],"(11, 14)",Talon,Blue,1,False,423.5,Ranked Solo/Duo
2,0,28,2220,False,"[67479, 231897]","(4, 11)",Khazix,Red,2,True,555.0,Ranked Solo/Duo
1,0,28,1723,True,[231864],"(11, 4)",Diana,Blue,2,False,430.75,Ranked Solo/Duo
0,0,24,1315,False,[],"(4, 11)",Amumu,Green,4,False,328.75,Ranked Solo/Duo
0,0,24,1315,True,[],"(4, 11)",Sejuani,Green,4,False,328.75,Ranked Solo/Duo
0,0,28,1392,False,[],"(4, 11)",Nidalee,Red,1,False,348.0,Ranked Solo/Duo
2,1,20,1904,True,"[168964, 238749]","(11, 4)",Nunu,Green,1,False,476.0,Ranked Solo/Duo
1,0,20,1675,True,[168051],"(11, 4)",XinZhao,Blue,3,True,418.75,Ranked Flex
1,0,28,1695,False,[236237],"(3, 11)",Karthus,Red,3,False,423.75,Ranked Flex
0,0,12,1062,False,[],"(4, 11)",Rengar,Blue,1,False,265.5,Ranked Flex
0,0,16,1184,True,[],"(11, 4)",TwistedFate,Red,2,False,296.0,Ranked Flex
0,0,28,1395,True,[],"(4, 11)",Zac,Green,3,False,348.75,Ranked Flex
0,0,20,1255,False,[],"(4, 11)",Viego,Red,3,False,313.75,Ranked Flex
0,0,16,1155,False,[],"(11, 4)",Viego,Blue,3,False,288.75,Ranked Solo/Duo
0,0,32,1485,True,[],"(4, 11)",Udyr,Blue,4,False,371.25,Ranked Solo/Duo
1,0,28,1815,True,[226787],"(6, 11)",Hecarim,Blue,4,True,453.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 6)",Garen,Blue,4,False,348.75,Ranked Solo/Duo
1,1,16,1506,False,[225401],"(4, 11)",Khazix,Blue,3,False,376.5,Ranked Solo/Duo
1,0,20,1699,True,[164514],"(11, 4)",Nidalee,Red,3,True,424.75,Ranked Solo/Duo
0,1,24,1410,False,[],"(4, 11)",Viego,Blue,3,False,352.5,Ranked Solo/Duo
0,1,20,1381,True,[],"(11, 4)",Amumu,Green,3,False,345.25,Ranked Solo/Duo
1,0,16,1495,False,[173890],"(4, 11)",Kayn,Blue,1,False,373.75,Ranked Solo/Duo
0,1,28,1469,True,[],"(11, 4)",FiddleSticks,Blue,1,False,367.25,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Shyvana,Red,4,False,348.75,Ranked Solo/Duo
0,1,24,1499,True,[],"(4, 11)",Nocturne,Red,4,False,374.75,Ranked Solo/Duo
1,0,16,1466,False,[235636],"(11, 4)",Nocturne,Red,2,False,366.5,Ranked Solo/Duo
0,0,12,1028,True,[],"(4, 11)",Shyvana,Red,1,False,257.0,Ranked Solo/Duo
2,1,15,1757,True,"[114456, 223554]","(4, 11)",Volibear,Blue,2,False,439.25,Ranked Solo/Duo
0,0,12,1064,False,[],"(3, 11)",Karthus,No Item,1,False,266.0,Ranked Solo/Duo
1,0,24,1635,False,[229401],"(4, 11)",Nocturne,Red,1,False,408.75,Ranked Solo/Duo
2,0,28,2114,True,"[43579, 234521]","(11, 4)",Morgana,Red,1,True,528.5,Ranked Solo/Duo
1,0,16,1620,False,[170190],"(4, 11)",Kindred,Red,3,True,405.0,Ranked Solo/Duo
1,0,16,1423,True,[173410],"(4, 11)",Khazix,Blue,3,False,355.75,Ranked Solo/Duo
0,1,22,1370,False,[],"(4, 11)",LeeSin,Red,3,False,342.5,Ranked Solo/Duo
0,1,18,1418,True,[],"(11, 14)",Shaco,Blue,3,False,354.5,Ranked Solo/Duo
0,0,20,1263,False,[],"(4, 11)",LeeSin,Green,4,True,315.75,Ranked Solo/Duo
0,0,23,1307,True,[],"(11, 4)",Vi,Green,4,False,326.75,Ranked Solo/Duo
0,0,28,1392,True,[],"(4, 11)",Nocturne,Red,3,False,348.0,Ranked Solo/Duo
1,0,22,1605,False,[162526],"(11, 4)",Diana,Red,3,False,401.25,Ranked Solo/Duo
0,2,12,1258,False,[],"(4, 11)",Nunu,Red,3,False,314.5,Ranked Solo/Duo
1,0,24,1685,True,[216241],"(4, 11)",MasterYi,Blue,3,False,421.25,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Viego,Red,1,False,348.75,Ranked Solo/Duo
1,1,28,1965,True,[41010],"(11, 4)",Elise,Blue,1,True,491.25,Ranked Solo/Duo
0,0,12,1061,True,[],"(4, 11)",LeeSin,Red,1,False,265.25,Ranked Solo/Duo
1,0,24,1735,False,[114453],"(4, 11)",Kayn,Blue,2,True,433.75,Ranked Solo/Duo
1,0,16,1499,True,[181502],"(11, 4)",Vi,Blue,3,False,374.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",MasterYi,Green,3,False,348.75,Ranked Solo/Duo
1,1,16,1555,False,[186944],"(11, 4)",Sejuani,Green,3,True,388.75,Ranked Solo/Duo
1,0,20,1572,True,[195995],"(11, 4)",Sylas,Green,3,False,393.0,Ranked Solo/Duo
1,0,24,1635,False,[221156],"(11, 4)",LeeSin,Blue,3,False,408.75,Ranked Solo/Duo
2,1,24,2168,True,"[221490, 234517]","(4, 11)",Viego,Green,3,False,542.0,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Lillia,Blue,4,False,348.75,Ranked Solo/Duo
1,0,28,1715,True,[237526],"(11, 4)",Shyvana,Red,4,False,428.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Volibear,Blue,1,False,348.75,Ranked Solo/Duo
2,0,23,2021,False,"[210345, 216257]","(6, 11)",Hecarim,Blue,1,False,505.25,Ranked Solo/Duo
0,0,0,500,False,[],"(11, 4)",Brand,Red,1,False,125.0,Ranked Solo/Duo
0,0,4,590,True,[],"(11, 4)",Ekko,Red,2,False,147.5,Ranked Solo/Duo
1,0,28,1724,False,[235742],"(11, 4)",Viego,Blue,1,False,431.0,Ranked Solo/Duo
0,1,28,1465,True,[],"(4, 11)",Kayn,Red,1,False,366.25,Ranked Solo/Duo
0,0,24,1335,False,[],"(11, 4)",Briar,Green,3,False,333.75,Ranked Solo/Duo
0,0,24,1335,True,[],"(11, 4)",Nunu,No Item,3,False,333.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(11, 4)",Evelynn,Red,3,False,348.75,Ranked Solo/Duo
0,0,27,1367,False,[],"(11, 4)",Shyvana,Red,3,False,341.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Shyvana,Red,3,False,348.75,Ranked Solo/Duo
1,0,24,1640,True,[227548],"(11, 4)",Udyr,Blue,3,False,410.0,Ranked Solo/Duo
1,0,24,1635,True,[239974],"(4, 11)",Briar,Green,4,False,408.75,Ranked Solo/Duo
0,1,28,1615,False,[],"(11, 12)",Shyvana,Blue,4,False,403.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 14)",Shaco,Blue,2,False,348.75,Ranked Solo/Duo
1,0,20,1715,True,[102026],"(4, 11)",Khazix,Green,1,True,428.75,Ranked Solo/Duo
0,0,24,1340,True,[],"(4, 11)",Sejuani,Green,1,False,335.0,Ranked Solo/Duo
1,3,20,1736,False,[238241],"(4, 11)",Sylas,Blue,1,False,434.0,Ranked Solo/Duo
1,2,21,1724,False,[236514],"(11, 4)",XinZhao,Red,1,False,431.0,Ranked Solo/Duo
1,3,24,2150,True,[238793],"(4, 11)",Viego,Blue,1,False,537.5,Ranked Solo/Duo
1,0,28,1725,True,[223929],"(11, 4)",Amumu,Green,3,False,431.25,Ranked Flex
0,0,20,1220,False,[],"(11, 4)",Zed,Red,3,False,305.0,Ranked Flex
1,0,28,1820,True,[235988],"(4, 11)",Nocturne,Red,4,True,455.0,Ranked Flex
0,1,24,1465,False,[],"(11, 4)",Amumu,Green,4,False,366.25,Ranked Flex
0,0,16,1118,False,[],"(14, 11)",Shaco,Blue,2,False,279.5,Ranked Flex
1,1,8,1554,True,[176286],"(4, 11)",LeeSin,Red,2,True,388.5,Ranked Flex
1,0,24,1756,True,[168613],"(14, 11)",Shaco,Red,3,True,439.0,Normal Draft
1,0,24,1679,False,[213254],"(4, 11)",Karthus,Red,3,False,419.75,Normal Draft
0,0,28,1395,False,[],"(6, 11)",Hecarim,Blue,4,False,348.75,Normal Draft
0,1,24,1455,True,[],"(11, 4)",Kayn,Blue,4,False,363.75,Normal Draft
0,0,28,1395,True,[],"(4, 11)",Evelynn,Blue,2,False,348.75,Normal Draft
